Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Harrison Barnes,2019-10-23,27-146,SAC,@,PHO,L 95-124,*,30,5,11,.455,4,8,.500,1,3,.333,1,3,.333,.487,0,6,6,1,1,0,4,3,12,3.8,-5.9,-20,F,barneha02
2,Harrison Barnes,2019-10-25,27-148,SAC,,POR,L 112-122,*,33,5,10,.500,3,7,.429,2,3,.667,1,1,1.000,.623,3,2,5,1,1,0,0,0,13,12.4,2.4,-14,F,barneha02
3,Harrison Barnes,2019-10-26,27-149,SAC,@,UTA,L 81-113,*,22,3,5,.600,3,5,.600,0,0,,1,1,1.000,.643,0,3,3,1,1,0,0,1,7,6.9,1.9,-32,F,barneha02
4,Harrison Barnes,2019-10-28,27-151,SAC,,DEN,L 94-101,*,32,5,12,.417,5,8,.625,0,4,.000,2,2,1.000,.466,2,6,8,0,0,0,0,0,12,8.8,-4.2,0,F,barneha02
5,Harrison Barnes,2019-10-30,27-153,SAC,,CHO,L 111-118,*,40,10,18,.556,9,14,.643,1,4,.250,1,2,.500,.583,1,6,7,1,3,0,1,1,22,17.8,0.4,1,F,barneha02
6,Harrison Barnes,2019-11-01,27-155,SAC,,UTA,W 102-101,*,31,6,13,.462,5,10,.500,1,3,.333,0,0,,.500,4,2,6,3,3,0,2,2,13,12.0,5.0,-10,F,barneha02
7,Harrison Barnes,2019-11-03,27-157,SAC,@,NYK,W 113-92,*,40,6,12,.500,3,5,.600,3,7,.429,4,4,1.000,.690,0,4,4,1,1,1,0,2,19,15.8,4.4,28,F,barneha02
8,Harrison Barnes,2019-11-06,27-160,SAC,@,TOR,L 120-124,*,39,7,15,.467,3,6,.500,4,9,.444,8,10,.800,.670,1,3,4,3,0,1,0,2,26,21.1,5.7,8,F,barneha02
9,Harrison Barnes,2019-11-08,27-162,SAC,@,ATL,W 121-109,*,36,5,10,.500,3,6,.500,2,4,.500,4,6,.667,.633,3,1,4,4,2,0,0,2,16,16.6,2.5,14,F,barneha02
10,Harrison Barnes,2019-11-12,27-166,SAC,,POR,W 107-99,*,32,4,8,.500,3,5,.600,1,3,.333,7,10,.700,.645,1,3,4,2,1,0,3,1,16,11.4,0.1,2,F,barneha02
