Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
44,Toumani Camara,2024-01-26,23-263,POR,@,SAS,L 100-116,,23,4,9,.444,4,8,.500,0,1,.000,4,4,1.000,.558,2,2,4,1,2,1,3,0,12,9.7,-1.5,-9,F,camarto01
45,Toumani Camara,2024-01-28,23-265,POR,,CHI,L 96-104,,3,1,1,1.000,1,1,1.000,0,0,,0,0,,1.000,0,1,1,0,0,0,0,0,2,2.0,13.6,-1,F,camarto01
46,Toumani Camara,2024-01-29,23-266,POR,,PHI,W 130-104,,16,2,4,.500,1,1,1.000,1,3,.333,1,2,.500,.615,2,1,3,3,1,0,1,1,6,7.0,6.0,4,F,camarto01
47,Toumani Camara,2024-01-31,23-268,POR,,MIL,W 119-116,,23,2,3,.667,2,3,.667,0,0,,0,0,,.667,1,3,4,2,2,0,0,2,4,6.9,3.9,0,F,camarto01
48,Toumani Camara,2024-02-02,23-270,POR,@,DEN,L 108-120,*,24,3,6,.500,3,4,.750,0,2,.000,4,4,1.000,.644,0,2,2,0,2,1,1,1,10,8.9,0.6,-11,F,camarto01
49,Toumani Camara,2024-02-04,23-272,POR,@,DEN,L 103-112,,23,4,6,.667,2,3,.667,2,3,.667,0,0,,.833,2,4,6,0,0,0,1,4,10,7.4,-2.2,10,F,camarto01
50,Toumani Camara,2024-02-08,23-276,POR,,DET,L 122-128 (OT),*,36,4,7,.571,3,6,.500,1,1,1.000,0,0,,.643,4,6,10,1,1,0,1,5,9,9.0,-6.0,-9,F,camarto01
51,Toumani Camara,2024-02-10,23-278,POR,,NOP,L 84-93,,20,2,8,.250,1,5,.200,1,3,.333,0,0,,.313,0,3,3,1,1,0,3,1,5,-0.6,-13.2,3,F,camarto01
52,Toumani Camara,2024-02-13,23-281,POR,,MIN,L 109-121,*,22,5,7,.714,3,5,.600,2,2,1.000,2,2,1.000,.888,1,3,4,2,0,0,2,4,14,10.5,5.7,9,F,camarto01
53,Toumani Camara,2024-02-15,23-283,POR,,MIN,L 91-128,*,18,5,5,1.000,4,4,1.000,1,1,1.000,2,3,.667,1.028,1,4,5,2,0,2,1,2,13,14.0,17.1,-7,F,camarto01
54,Toumani Camara,2024-02-23,23-291,POR,,DEN,L 112-127,*,24,3,7,.429,3,6,.500,0,1,.000,0,0,,.429,4,2,6,2,1,0,3,0,6,5.1,-8.4,0,F,camarto01
55,Toumani Camara,2024-02-25,23-293,POR,,CHO,L 80-93,*,18,0,4,.000,0,1,.000,0,3,.000,0,0,,.000,2,1,3,1,0,0,0,1,0,-0.8,-13.9,-6,F,camarto01
56,Toumani Camara,2024-02-27,23-295,POR,,MIA,L 96-106,*,32,6,12,.500,4,10,.400,2,2,1.000,3,3,1.000,.638,6,4,10,3,0,0,3,6,17,13.1,0.2,13,F,camarto01
57,Toumani Camara,2024-03-01,23-298,POR,@,MEM,W 122-92,*,21,2,5,.400,2,5,.400,0,0,,0,0,,.400,2,5,7,1,1,0,0,1,4,5.5,-4.9,6,F,camarto01
58,Toumani Camara,2024-03-02,23-299,POR,@,MEM,W 107-100 (OT),*,36,5,10,.500,2,6,.333,3,4,.750,2,4,.500,.638,3,4,7,1,1,1,1,2,15,13.1,4.5,9,F,camarto01
59,Toumani Camara,2024-03-08,23-305,POR,,HOU,L 107-123,*,30,2,4,.500,1,2,.500,1,2,.500,4,4,1.000,.781,3,4,7,0,1,0,1,1,9,9.9,-1.9,-3,F,camarto01
60,Toumani Camara,2024-03-09,23-306,POR,,TOR,W 128-118 (OT),*,32,5,10,.500,3,6,.500,2,4,.500,3,3,1.000,.663,5,4,9,4,1,0,1,3,15,16.3,3.4,8,F,camarto01
61,Toumani Camara,2024-03-11,23-308,POR,,BOS,L 99-121,,25,3,5,.600,3,4,.750,0,1,.000,2,2,1.000,.680,0,1,1,2,0,1,0,0,8,8.1,1.2,-14,F,camarto01
62,Toumani Camara,2024-03-13,23-310,POR,,ATL,W 106-102,*,30,1,3,.333,1,2,.500,0,1,.000,1,2,.500,.387,2,4,6,3,0,1,1,3,3,4.1,-4.2,12,F,camarto01
63,Toumani Camara,2024-03-14,23-311,POR,,NYK,L 93-105,*,34,3,6,.500,2,3,.667,1,3,.333,0,0,,.583,1,2,3,4,3,0,2,4,7,7.5,1.1,-7,F,camarto01
64,Toumani Camara,2024-03-16,23-313,POR,@,NOP,L 107-126,*,34,5,12,.417,4,7,.571,1,5,.200,0,0,,.458,3,3,6,1,0,2,1,3,11,7.5,-6.2,-10,F,camarto01
65,Toumani Camara,2024-03-18,23-315,POR,@,CHI,L 107-110,*,15,0,0,,0,0,,0,0,,0,0,,,0,1,1,1,0,0,1,3,0,-1.2,-12.2,-10,F,camarto01
66,Toumani Camara,2024-03-20,23-317,POR,,LAC,L 103-116,*,18,1,1,1.000,0,0,,1,1,1.000,0,0,,1.500,0,2,2,2,1,0,0,2,3,4.9,4.4,-1,F,camarto01
67,Toumani Camara,2024-03-22,23-319,POR,,LAC,L 117-125,*,32,5,11,.455,4,7,.571,1,4,.250,0,0,,.500,5,2,7,1,0,0,1,3,11,7.9,-9.5,-7,F,camarto01
68,Toumani Camara,2024-03-23,23-320,POR,,DEN,L 111-114,*,39,6,11,.545,4,7,.571,2,4,.500,2,2,1.000,.673,4,3,7,6,1,1,1,2,16,18.5,4.3,8,F,camarto01
69,Toumani Camara,2024-03-25,23-322,POR,@,HOU,L 92-110,*,35,4,9,.444,3,6,.500,1,3,.333,3,3,1.000,.581,3,2,5,0,2,2,4,4,12,7.8,-3.4,-7,F,camarto01
70,Toumani Camara,2024-03-27,23-324,POR,@,ATL,L 106-120,*,30,7,9,.778,4,5,.800,3,4,.750,0,0,,.944,1,3,4,2,1,0,2,2,17,14.7,2.7,0,F,camarto01
